Student Name,Favorite Food
Michail,Mushroom
Kiley,Beef
Ora,Chicken
Marla,Beef
Sancho,Chicken
Kennie,Lobster
Tadio,Mushroom
Hephzibah,Lobster
Willie,Mushroom
Blanch,Lobster
Hayley,Mushroom
Malynda,Lobster
Donn,Vegetable
Bethany,Soup
Milo,Mushroom
Fancy,Mushroom
Chet,Vegetable
Corene,Pasta
Inge,Vegetable
Osbourn,Mushroom
Nikola,Beef
Leena,Vegetable
Karia,Soup
Sebastien,Mushroom
Veronika,Lobster
Amabel,Beef
Royal,Mushroom
Marquita,Beef
Gretel,Beef
Estella,Pasta
Freida,Mushroom
Zed,Vegetable
Rickie,Soup
Rosalia,Lobster
Bradley,Lobster
Reade,Soup
Torrance,Beef
Amery,Pasta
Rozina,Pasta
Reggie,Mushroom
Pavia,Soup
Mary,Pasta
Ranee,Soup
Barthel,Mushroom
Rey,Vegetable
Vernor,Pasta
Adan,Mushroom
Claudia,Vegetable
Nelle,Vegetable
Bail,Pasta
Chad,Beef
Elvyn,Soup
Lanie,Chicken
Leta,Lobster
Gabriel,Pasta
Kile,Soup
Legra,Soup
Isaak,Soup
Vernice,Vegetable
Daniele,Soup
Alasteir,Lobster
Rand,Soup
Dean,Lobster
Jonie,Mushroom
Aloysius,Chicken
,Soup
Janine,Pasta
Grier,Lobster
Rod,Mushroom
Glynnis,Mushroom
Ker,Soup
Thia,Vegetable
Shaylynn,Soup
Monti,Mushroom
Katinka,Beef
Jordain,Mushroom
Dal,Soup
Benedikt,Soup
Lela,Soup
Clive,Beef
Xerxes,Chicken
Aurilia,Soup
Pierce,Lobster
Trish,Mushroom
Ginelle,Mushroom
Issy,Chicken
Carlen,Vegetable
Rafaelia,Lobster
Ced,Lobster
Sid,Chicken
Venita,Mushroom
Markos,Soup
Corine,Lobster
Hurleigh,Lobster
Madeline,Vegetable
Lisle,Lobster
Rudyard,Mushroom
Conny,Soup
Trixie,Mushroom
Jacklyn,Lobster
Cybil,Mushroom
Juieta,Beef
Gabi,Pasta
Gardner,Mushroom
Chanda,Beef
Immanuel,Mushroom
Erinna,Soup
Bernetta,Vegetable
Shurlock,Beef
Louise,Vegetable
Pansy,Beef
Mitchael,Soup
Paco,Vegetable
Hanson,Mushroom
Sibley,Chicken
Robbyn,Beef
Marena,Pasta
Karyn,Beef
Randi,Mushroom
Midge,Beef
Kirsten,Lobster
Flin,Soup
Myles,Pasta
Lilias,Mushroom
Klarrisa,Mushroom
Theodoric,Lobster
Adeline,Beef
Roseline,Chicken
Brenda,Chicken
Maisey,Soup
Barron,Mushroom
Rozina,Vegetable
Elnora,Pasta
Talbot,Vegetable
Cathryn,Mushroom
Dora,Mushroom
Callean,Pasta
Caritta,Soup
Gilligan,Mushroom
Arly,Mushroom
Emelen,Beef
Shelby,Mushroom
Murdock,Lobster
Miles,Mushroom
Marylou,Mushroom
Christi,Pasta
Pietro,Soup
Laetitia,Beef
Dennison,Soup
Fernande,Lobster
Evaleen,Mushroom
Alfreda,Vegetable
Berne,Mushroom
Laryssa,Chicken
Carolyn,Beef
Farrell,Beef
Hans,Mushroom
Inessa,Soup
Padraic,Lobster
Karole,Mushroom
Shelba,Lobster
Stern,Lobster
Laryssa,Mushroom
Obed,Lobster
Nora,Soup
Donnamarie,Mushroom
Sherwood,Mushroom
Catherine,Soup
Eduino,Soup
Dian,Mushroom
Saudra,Beef
Sibyl,Soup
Tandy,Lobster
Ursa,Vegetable
Florida,Pasta
Leesa,Vegetable
Chalmers,Pasta
Fannie,Pasta
Judith,Vegetable
Terri,Pasta
Aurthur,Soup
Guenna,Beef
Miguela,Mushroom
Shelley,Mushroom
Dimitry,Mushroom
Garek,Soup
Freddie,Mushroom
Gloriane,Soup
Lisle,Beef
Nicol,Beef
Chandler,Soup
Elnar,Soup
Ernesto,Mushroom
Merrilee,Beef
Aileen,Soup
Darby,Pasta
Sherrie,Mushroom
Katee,Soup
Samson,Beef
Rachelle,Beef
Adair,Lobster
Sylvester,Mushroom
Janella,Beef
Joyann,Soup
Malinde,Beef
Alice,Mushroom
Mallissa,Beef
Deny,Pasta
Thaine,Soup
Sibyl,Lobster
Ray,Lobster
Marleen,Chicken
Brigida,Beef
Greta,Mushroom
Buddy,Mushroom
Ursala,Soup
Matthiew,Soup
Kirsten,Soup
Augustine,Mushroom
Isabelita,Soup
Corny,Beef
Monroe,Chicken
Scarface,Beef
Sigrid,Lobster
Euell,Mushroom
Brendis,Pasta
Sandy,Chicken
Libbey,Chicken
Hilton,Mushroom
Wait,Soup
Peta,Mushroom
Callean,Lobster
Rick,Lobster
Regen,Chicken
Bendite,Beef
Gaspard,Mushroom
Madelina,Chicken
Lindon,Vegetable
Leonhard,Mushroom
Katey,Soup
Sherie,Vegetable
Veronika,Lobster
Iggy,Lobster
Wendall,Pasta
Tisha,Mushroom
Pollyanna,Lobster
Annnora,Lobster
Isabelle,Chicken
Dudley,Lobster
Hayes,Chicken
Trip,Soup
Linoel,Mushroom
Jdavie,Mushroom
Rochella,Beef
Hymie,Mushroom
Jessy,Pasta
Conway,Lobster
Stephan,Mushroom
Eachelle,Beef
Hadrian,Beef
Torrance,Vegetable
Jethro,Lobster
Saleem,Chicken
Nettle,Beef
Leonanie,Lobster
Kris,Beef
Jemmie,Mushroom
Vinni,Lobster
Vally,Chicken
Oralie,Beef
Reinaldo,Lobster
Oliver,Chicken
Sutherlan,Vegetable
Dagny,Lobster
Drusilla,Beef
Jerrylee,Mushroom
Heloise,Beef
Leeland,Lobster
Gan,Chicken
Pen,Lobster
April,Vegetable
Karlik,Beef
Ulric,Vegetable
Cybill,Mushroom
Arther,Mushroom
Benedetta,Beef
Marcelo,Vegetable
Colver,Pasta
Loraine,Chicken
Yevette,Chicken
Candida,Vegetable
Nell,Pasta
Cally,Chicken
Ruby,Beef
Lukas,Mushroom
Leticia,Lobster
Horton,Vegetable
Hervey,Mushroom
Bathsheba,Lobster
Clara,Vegetable
Merralee,Lobster
Elianore,Soup
Wrennie,Lobster
Filide,Lobster
Hy,Lobster
Mandy,Lobster
Chlo,Mushroom
Penn,Pasta
Belva,Mushroom
Sargent,Lobster
Darby,Mushroom
Mersey,Pasta
Quintana,Beef
Theodosia,Soup
Mervin,Mushroom
Ban,Lobster
Fletch,Beef
Ellette,Mushroom
Karla,Soup
Peta,Soup
Lizbeth,Pasta
Robbin,Lobster
Tades,Vegetable
Ezra,Vegetable
Gretel,Soup
Goldia,Lobster
Margaretha,Vegetable
Eldridge,Beef
Sammie,Pasta
Ellene,Beef
Zabrina,Chicken
Brady,Chicken
Myrna,Beef
Dame,Chicken
Jenifer,Lobster
Hilarius,Soup
Jesselyn,Vegetable
Patsy,Pasta
Giselbert,Beef
Wildon,Soup
Goddart,Beef
Aubree,Soup
Corrine,Pasta
Marietta,Mushroom
Alfy,Mushroom
Saundra,Lobster
Ty,Chicken
Salvidor,Mushroom
Johnette,Mushroom
Aloise,Beef
Philomena,Lobster
Ursula,Pasta
Abbott,Mushroom
Berty,Chicken
Korie,Vegetable
Siana,Mushroom
Toby,Chicken
Freddy,Beef
Kin,Beef
Ingelbert,Mushroom
Faina,Pasta
Pauli,Beef
Luke,Pasta
Wynne,Mushroom
Christen,Beef
Hildegaard,Soup
Brooks,Chicken
Kristoffer,Lobster
Enrico,Pasta
Anjela,Lobster
Leupold,Pasta
Aldus,Vegetable
Brigitta,Soup
Walliw,Chicken
Forester,Soup
Hinze,Soup
Roxy,Beef
Ethan,Lobster
Terrell,Mushroom
Brion,Lobster
Ulrike,Vegetable
Grayce,Lobster
Sherm,Pasta
Vonny,Vegetable
Aleksandr,Pasta
Andrew,Lobster
Elsey,Pasta
Elbertine,Lobster
Calv,Mushroom
Michel,Beef
Florina,Soup
Sarita,Mushroom
Darin,Mushroom
Eugenia,Chicken
Jozef,Beef
Bobbie,Beef
Nick,Pasta
Cassi,Soup
Sher,Soup
Bale,Vegetable
Ethan,Mushroom
Gilly,Vegetable
Fransisco,Soup
De witt,Mushroom
Bernice,Beef
Flossi,Chicken
Luciano,Lobster
Naoma,Mushroom
Luisa,Beef
Oberon,Soup
Sly,Beef
Sheila,Chicken
Fax,Soup
Chris,Mushroom
Tomasine,Mushroom
Verne,Soup
Janean,Lobster
Brit,Pasta
Sarajane,Soup
Cami,Vegetable
Myriam,Mushroom
Thebault,Mushroom
Lonni,Vegetable
Salvatore,Chicken
Konstance,Beef
Liane,Beef
Marylin,Soup
Nicolette,Lobster
Thornie,Soup
Dorine,Mushroom
Minda,Mushroom
Angelique,Soup
Maegan,Mushroom
Chryste,Soup
Bess,Lobster
Tonya,Beef
Glynnis,Lobster
Millie,Pasta
Binni,Beef
Asia,Chicken
Marje,Vegetable
Micheline,Mushroom
Clotilda,Mushroom
Pippy,Soup
Lexis,Mushroom
Huntley,Soup
Jeremiah,Vegetable
Kalila,Soup
Sallie,Chicken
Lenna,Beef
Marshall,Pasta
Rosanne,Beef
Tybalt,Soup
Ramsey,Chicken
Clive,Beef
Betta,Vegetable
Jana,Mushroom
Bale,Mushroom
Emmeline,Pasta
Marena,Mushroom
Peter,Chicken
Evita,Vegetable
Crawford,Pasta
Skipper,Chicken
Marisa,Mushroom
Aguie,Beef
Jorey,Beef
Giralda,Soup
Evelina,Mushroom
Glendon,Lobster
Lezlie,Soup
Hanan,Lobster
Brandon,Pasta
Ninnette,Vegetable
Constancia,Mushroom
Bald,Mushroom
Traver,Mushroom
Pace,Mushroom
Van,Lobster
Fern,Chicken
Georgia,Mushroom
Desiri,Mushroom
Carmine,Lobster
Nerita,Chicken
Armand,Vegetable
Jorey,Mushroom
Ron,Chicken
Linoel,Lobster
Vannie,Chicken
Sioux,Mushroom
Gerald,Soup
Adelice,Soup
Cordell,Vegetable
Randee,Pasta
Nadine,Soup
Haleigh,Mushroom
Doll,Mushroom
Eldon,Vegetable
Graeme,Pasta
Bord,Beef
Caren,Beef
Amalie,Mushroom
Gaston,Mushroom
Verene,Lobster
Anjanette,Chicken
Nils,Mushroom
Dyann,Pasta
Gerianne,Pasta
Shawn,Vegetable
Niki,Pasta
Lenard,Mushroom
Rutherford,Vegetable
Lois,Soup
Fionnula,Vegetable
Therese,Beef
Hildagard,Mushroom
Sallie,Mushroom
Heath,Mushroom
Zorana,Chicken
Ag,Pasta
Tait,Mushroom
Pembroke,Vegetable
Chen,Mushroom
Natale,Beef
Merrielle,Lobster
Jourdain,Vegetable
Brendis,Soup
Ignacio,Vegetable
Shaughn,Mushroom
Braden,Mushroom
Eustace,Mushroom
Lorianna,Vegetable
Horst,Pasta
Conan,Mushroom
Morissa,Mushroom
Maitilde,Soup
Nichol,Mushroom
Karleen,Chicken
Shermy,Vegetable
Roddie,Pasta
Tasha,Beef
Doy,Chicken
Kristofer,Beef
Bar,Soup
Marji,Vegetable
Heath,Mushroom
Ashien,Vegetable
Manya,Soup
Clemmy,Beef
Devondra,Chicken
Emili,Chicken
Glen,Pasta
Crichton,Mushroom
Tomasina,Soup
Arabelle,Beef
Tobey,Soup
Gwendolin,Beef
Farrand,Beef
Yanaton,Beef
Sherwynd,Chicken
Rozele,Lobster
Allyson,Soup
Gary,Pasta
Robby,Lobster
Gertrud,Mushroom
Waldemar,Mushroom
Garnet,Beef
Gizela,Pasta
Aldrich,Pasta
Constancy,Beef
Felita,Soup
Marie,Vegetable
Brandy,Soup
Fredrika,Lobster
Riccardo,Vegetable
Lola,Mushroom
Jackson,Beef
Berenice,Chicken
Job,Lobster
Tremayne,Mushroom
Carroll,Pasta
Dorelle,Chicken
Janey,Soup
Josee,Beef
Dani,Mushroom
Elka,Lobster
Nehemiah,Mushroom
Betteanne,Vegetable
Petr,Mushroom
Nevsa,Mushroom
Daile,Lobster
Maddy,Lobster
Radcliffe,Chicken
Willie,Vegetable
Lawry,Lobster
Dannie,Soup
Ingeberg,Chicken
Niall,Soup
Jori,Mushroom
Lauri,Mushroom
Lizbeth,Pasta
Neron,Soup
Darby,Pasta
Morena,Mushroom
Erik,Soup
Trisha,Vegetable
Alverta,Mushroom
Kaine,Pasta
Bunny,Mushroom
Julienne,Vegetable
Duke,Soup
Gladi,Mushroom
Giuseppe,Mushroom
Carmen,Chicken
Weidar,Lobster
Killy,Mushroom
Letitia,Vegetable
Lura,Chicken
Corney,Mushroom
Indira,Chicken
Jeddy,Chicken
Christoffer,Mushroom
Nanine,Chicken
Nicolina,Chicken
Ellen,Vegetable
Les,Mushroom
Ursa,Chicken
Annissa,Pasta
Margeaux,Chicken
Alexina,Beef
Caron,Pasta
Prue,Beef
Anselma,Mushroom
Vernon,Soup
Kim,Pasta
Hannis,Vegetable
Robbi,Chicken
Feodora,Chicken
Cobb,Soup
Consalve,Vegetable
Willetta,Soup
Diann,Mushroom
Kiley,Pasta
Georgetta,Mushroom
Joshua,Mushroom
Bendick,Mushroom
Gladi,Beef
Kath,Soup
Luca,Lobster
Nye,Beef
Kaiser,Pasta
Michel,Soup
Orv,Chicken
Lu,Pasta
Sascha,Pasta
Tadd,Pasta
Orion,Beef
Shoshanna,Soup
Rosaline,Mushroom
Brinna,Mushroom
Gretel,Soup
Elianore,Chicken
Redd,Mushroom
Bethena,Beef
Jodie,Lobster
Bettina,Lobster
Ferris,Beef
Avery,Vegetable
Elyn,Vegetable
Jilly,Soup
Candie,Pasta
Bernete,Beef
Pauline,Lobster
Stefanie,Beef
Marge,Soup
Sibbie,Beef
Raimondo,Vegetable
Ruddie,Pasta
Aline,Mushroom
Cammy,Vegetable
Iver,Chicken
Rosana,Mushroom
Rikki,Soup
Tessie,Soup
Jenilee,Vegetable
Barnabas,Mushroom
Tito,Mushroom
Leonora,Mushroom
Noach,Vegetable
Bevvy,Soup
Zorana,Beef
Hy,Chicken
Virginie,Pasta
Shelden,Mushroom
Janeta,Pasta
Gigi,Mushroom
Arabella,Mushroom
Chad,Chicken
Lauryn,Vegetable
Ronalda,Beef
Glynda,Beef
Billy,Chicken
Deina,Mushroom
Albrecht,Pasta
Osmond,Beef
Currey,Mushroom
Vivia,Chicken
Piggy,Mushroom
Hale,Soup
Henrik,Soup
Godiva,Beef
Gianni,Chicken
Clementina,Beef
Marijo,Soup
Haily,Vegetable
Gunther,Mushroom
Keefer,Vegetable
Joyce,Soup
Megan,Beef
Alphard,Vegetable
Dru,Chicken
Olivie,Mushroom
Cinderella,Mushroom
Karola,Mushroom
Margret,Mushroom
Lucas,Vegetable
Mildred,Mushroom
Nalani,Pasta
Emory,Lobster
Fannie,Beef
Nomi,Vegetable
Sigfried,Lobster
Orsa,Mushroom
Gelya,Mushroom
Trixi,Mushroom
Idaline,Vegetable
Alvina,Beef
Vin,Mushroom
Michail,Beef
Kiley,Mushroom
Ora,Beef
Marla,Chicken
Sancho,Vegetable
Kennie,Pasta
Tadio,Chicken
Hephzibah,Chicken
Willie,Vegetable
Blanch,Mushroom
Hayley,Soup
Malynda,Mushroom
Donn,Beef
Bethany,Vegetable
Milo,Mushroom
Fancy,Vegetable
Chet,Mushroom
Corene,Mushroom
Inge,Chicken
Osbourn,Beef
Nikola,Pasta
Leena,Mushroom
Karia,Vegetable
Sebastien,Pasta
Veronika,Lobster
Amabel,Lobster
Royal,Vegetable
Marquita,Mushroom
Gretel,Mushroom
Estella,Mushroom
Freida,Pasta
Zed,Soup
Rosalia,Mushroom
Bradley,Soup
Reade,Beef
Torrance,Mushroom
Amery,Soup
Rozina,Pasta
Reggie,Pasta
Pavia,Vegetable
Mary,Lobster
Ranee,Beef
Barthel,Beef
Rey,Chicken
Vernor,Lobster
Adan,Pasta
Claudia,Mushroom
Nelle,Lobster
Bail,Chicken
Chad,Chicken
Elvyn,Vegetable
Lanie,Lobster
Leta,Soup
Gabriel,Mushroom
Kile,Chicken
Legra,Pasta
Vernice,Vegetable
Daniele,Mushroom
Alasteir,Vegetable
Rand,Mushroom
Dean,Soup
Jonie,Chicken
Aloysius,Mushroom
Janine,Soup
Grier,Lobster
Rod,Pasta
Glynnis,Lobster
Ker,Soup
Thia,Beef
Shaylynn,Mushroom
Monti,Lobster
Katinka,Soup
Dal,Beef
Benedikt,Pasta
Lela,Beef
Clive,Pasta
Xerxes,Beef
Aurilia,Pasta
Pierce,Soup
Trish,Soup
Ginelle,Chicken
Issy,Lobster
Carlen,Pasta
Ced,Lobster
Sid,Beef
Venita,Soup
Markos,Vegetable
Corine,Mushroom
Hurleigh,Lobster
Madeline,Chicken
Lisle,Pasta
Rudyard,Mushroom
Conny,Chicken
Trixie,Lobster
Jacklyn,Mushroom
Cybil,Vegetable
Juieta,Beef
Gabi,Vegetable
Gardner,Soup
Chanda,Beef
Immanuel,Beef
Bernetta,Lobster
Shurlock,Soup
Louise,Lobster
Pansy,Soup
Mitchael,Pasta
Paco,Vegetable
Hanson,Mushroom
Sibley,Pasta
Robbyn,Beef
Marena,Mushroom
Karyn,Pasta
Randi,Vegetable
Midge,Vegetable
Kirsten,Vegetable
Flin,Soup
Lilias,Soup
Klarrisa,Lobster
Theodoric,Mushroom
Adeline,Mushroom
Roseline,Beef
Brenda,Lobster
Maisey,Mushroom
Barron,Chicken
Rozina,Mushroom
Elnora,Soup
Talbot,Lobster
Cathryn,Chicken
Dora,Mushroom
Callean,Pasta
Caritta,Pasta
Gilligan,Beef
Arly,Mushroom
Emelen,Chicken
Shelby,Pasta
Murdock,Beef
Miles,Beef
Marylou,Pasta
Christi,Chicken
Pietro,Beef
Laetitia,Mushroom
Dennison,Vegetable
Fernande,Lobster
Alfreda,Chicken
Berne,Lobster
Laryssa,Chicken
Carolyn,Soup
Farrell,Soup
Hans,Pasta
Inessa,Lobster
